record_id,location_id,source_id,time_of_record,visit_count_x,time_in_queue,assigned_employee_id,type_of_water_source,number_of_people_served,address,province_name,town_name,location_type,subjective_quality_score,visit_count_y,results,pollutant_ppm,biological,functionality_status,hour,month
17,AkHa00070,AkHa00070224,1/1/2021 11:42,1,0,40,well,390,51 Addis Ababa Road,Akatsi,Harare,Urban,2,1,Contaminated: Chemical,5.46739,0,functional,11,January
18,HaSe21263,HaSe21263224,1/1/2021 11:51,1,0,12,tap_in_home,548,33 Afro Beat Road,Hawassa,Serowe,Urban,10,1,,,,functional,11,January
19,HaSe21346,HaSe21346224,1/1/2021 11:52,1,0,30,well,300,93 Afro Beat Road,Hawassa,Serowe,Urban,3,1,Clean,0.0140376,8.99E-05,functional,11,January
20,KiHa23304,KiHa23304224,1/1/2021 12:00,1,20,30,river,450,31 Samora Machel Road,Kilimani,Harare,Urban,10,1,,,,non_functional,12,January
21,KiRu26190,KiRu26190224,1/1/2021 12:00,1,171,46,shared_tap,2050,110 Nyerere Road,Kilimani,Rural,Rural,3,1,,,,partially_functional,12,January
22,HaYa21468,HaYa21468224,1/1/2021 12:03,1,0,8,well,334,146 Okapi Road,Hawassa,Yaounde,Urban,2,1,Contaminated: Chemical,6.05137,0,functional,12,January
23,HaSe21154,HaSe21154224,1/1/2021 12:12,1,0,7,tap_in_home,322,45 Umqombothi Avenue,Hawassa,Serowe,Urban,10,1,,,,functional,12,January
24,AmRu14009,AmRu14009224,1/1/2021 12:16,1,0,3,tap_in_home,392,25 Selassie Drive,Amanzi,Rural,Rural,10,1,,,,functional,12,January
25,SoRu36278,SoRu36278224,1/1/2021 12:24,1,0,48,well,394,18 Casablanca Road,Sokoto,Rural,Rural,10,1,Contaminated: Biological,0,485.162,functional,12,January
26,AkLu02155,AkLu02155224,1/1/2021 12:29,1,0,16,well,350,7 Dakar Drive,Akatsi,Lusaka,Urban,2,1,Contaminated: Chemical,7.64106,0,functional,12,January
27,KiHa23159,KiHa23159224,1/1/2021 12:34,1,0,5,tap_in_home,600,176 Port Said Street,Kilimani,Harare,Urban,10,1,,,,functional,12,January
28,AkLu02259,AkLu02259224,1/1/2021 12:42,1,0,12,tap_in_home_broken,644,24 Okonjo-Iweala Street,Akatsi,Lusaka,Urban,9,1,,,,non_functional,12,January
29,AkRu06938,AkRu06938224,1/1/2021 12:56,1,0,30,well,234,172 Fisi Nkrumah Street,Akatsi,Rural,Rural,2,1,Contaminated: Chemical,1.99096,0,functional,12,January
30,AkKi01222,AkKi01222224,1/1/2021 13:04,1,0,48,tap_in_home_broken,334,59 Ziwa Nyeusi Street,Akatsi,Kintampo,Urban,9,1,,,,non_functional,13,January
31,AkRu05825,AkRu05825224,1/1/2021 13:07,1,0,36,well,208,140 Mbeki Street,Akatsi,Rural,Rural,2,1,Contaminated: Chemical,5.89926,0,functional,13,January
32,HaRu17116,HaRu17116224,1/1/2021 13:38,1,28,40,shared_tap,2668,18 Twiga Lane,Hawassa,Rural,Rural,4,1,,,,functional,13,January
33,AmAb08963,AmAb08963224,1/1/2021 13:40,1,0,18,tap_in_home,830,12 Atlas Mountain Crest,Amanzi,Abidjan,Urban,10,1,,,,functional,13,January
34,AkRu05973,AkRu05973224,1/1/2021 13:44,1,0,30,well,308,169 Mbeki Street,Akatsi,Rural,Rural,3,1,Clean,0.084344,6.24E-05,functional,13,January
35,SoRu36313,SoRu36313224,1/1/2021 13:46,1,0,18,well,220,41 Casablanca Road,Sokoto,Rural,Rural,1,1,Contaminated: Biological,0,182.88,functional,13,January
36,KiMr24968,KiMr24968224,1/1/2021 13:52,1,0,30,well,350,167 Mlima Wa Matumaini Street,Kilimani,Mrembo,Urban,1,1,Contaminated: Biological,0,44.2164,functional,13,January
37,HaRu18204,HaRu18204224,1/1/2021 13:53,1,16,8,shared_tap,270,42 Tripoli Terrace,Hawassa,Rural,Rural,7,1,,,,functional,13,January
38,KiRu30598,KiRu30598224,1/1/2021 13:54,1,56,30,shared_tap,462,108 Sahara Street,Kilimani,Rural,Rural,5,1,,,,partially_functional,13,January
39,KiMr25096,KiMr25096224,1/1/2021 14:00,1,11,32,river,764,14 Afrobeats Street,Kilimani,Mrembo,Urban,0,1,,,,non_functional,14,January
40,SoRu35294,SoRu35294224,1/1/2021 14:07,1,24,5,river,788,110 Nile Street,Sokoto,Rural,Rural,0,1,,,,non_functional,14,January
41,AmDa12232,AmDa12232224,1/1/2021 14:10,1,0,4,tap_in_home,660,18 Angélique Kidjo Avenue,Amanzi,Dahabu,Urban,10,1,,,,functional,14,January
42,SoRu36138,SoRu36138224,1/1/2021 14:14,1,0,5,tap_in_home,486,16 Rabat Avenue,Sokoto,Rural,Rural,10,1,,,,functional,14,January
43,KiRu27916,KiRu27916224,1/1/2021 14:19,1,0,48,well,304,9 Nyerere Ndovu Avenue,Kilimani,Rural,Rural,2,1,Contaminated: Chemical,1.06885,0,functional,14,January
44,KiMr24569,KiMr24569224,1/1/2021 14:30,1,0,30,tap_in_home,504,139 Okocha Street,Kilimani,Mrembo,Urban,10,1,,,,functional,14,January
45,SoRu35508,SoRu35508224,1/1/2021 14:49,1,0,1,well,300,199 Monrovia Street,Sokoto,Rural,Rural,2,1,Contaminated: Chemical,4.15909,0,functional,14,January
46,SoCh32153,SoCh32153224,1/1/2021 14:56,1,0,1,tap_in_home,730,79 Lusaka Road,Sokoto,Cheche,Urban,10,1,,,,functional,14,January
47,KiRu27248,KiRu27248224,1/1/2021 15:11,1,211,26,shared_tap,2602,68 Maseru Road,Kilimani,Rural,Rural,3,1,,,,partially_functional,15,January
48,AmDa11460,AmDa11460224,1/1/2021 15:17,1,0,6,tap_in_home,740,13 Johannesburg Street,Amanzi,Dahabu,Urban,10,1,,,,functional,15,January
49,KiIs23592,KiIs23592224,1/1/2021 15:41,1,0,10,tap_in_home,690,134 Langata Road,Kilimani,Isiqalo,Urban,10,1,,,,functional,15,January
50,AmDa11976,AmDa11976224,1/1/2021 16:00,1,0,28,tap_in_home,640,116 Nyoka Achebe Street,Amanzi,Dahabu,Urban,10,1,,,,functional,16,January
51,AkHa00706,AkHa00706224,1/1/2021 16:10,1,0,8,well,238,147 Yvonne Chaka Street,Akatsi,Harare,Urban,3,1,Clean,0.0862577,4.23E-05,functional,16,January
52,AkRu03463,AkRu03463224,1/1/2021 16:10,1,16,48,shared_tap,288,5 Baobab Court,Akatsi,Rural,Rural,7,1,,,,functional,16,January
53,AkHa00465,AkHa00465224,1/1/2021 16:28,1,0,3,well,252,160 Oliver Tambo Street,Akatsi,Harare,Urban,2,1,Contaminated: Chemical,4.97264,0,functional,16,January
54,HaRu17302,HaRu17302224,1/1/2021 16:32,1,0,28,tap_in_home,832,43 Tangier Terrace,Hawassa,Rural,Rural,10,1,,,,functional,16,January
55,AmRu14425,AmRu14425224,1/1/2021 16:32,1,0,36,tap_in_home,362,68 Leakey Avenue,Amanzi,Rural,Rural,10,1,,,,functional,16,January
56,HaSe21309,HaSe21309224,1/1/2021 16:36,1,0,10,tap_in_home_broken,940,27 Afro Beat Road,Hawassa,Serowe,Urban,9,1,,,,non_functional,16,January
57,SoRu39241,SoRu39241224,1/1/2021 16:40,1,0,7,well,162,57 Hugh Masekela Avenue,Sokoto,Rural,Rural,2,1,Contaminated: Chemical,1.28796,0,functional,16,January
58,KiRu30598,KiRu30598224,1/2/2021 7:07,2,107,30,shared_tap,462,108 Sahara Street,Kilimani,Rural,Rural,5,2,,,,partially_functional,7,January
59,SoRu35008,SoRu35008224,1/2/2021 7:27,2,248,1,shared_tap,3746,55 Fennec Way,Sokoto,Rural,Rural,10,2,,,,partially_functional,7,January
60,HaRu19752,HaRu19752224,1/2/2021 9:04,2,73,40,shared_tap,542,18 Mlima Tazama Avenue,Hawassa,Rural,Rural,5,2,,,,partially_functional,9,January
61,KiRu27248,KiRu27248224,1/2/2021 11:02,2,167,26,shared_tap,2602,68 Maseru Road,Kilimani,Rural,Rural,3,2,,,,partially_functional,11,January
62,KiRu26190,KiRu26190224,1/2/2021 13:56,2,200,46,shared_tap,2050,110 Nyerere Road,Kilimani,Rural,Rural,3,2,,,,partially_functional,13,January
63,KiRu27248,KiRu27248224,1/3/2021 9:41,3,103,26,shared_tap,2602,68 Maseru Road,Kilimani,Rural,Rural,3,3,,,,partially_functional,9,January
64,HaRu19752,HaRu19752224,1/3/2021 11:38,3,39,40,shared_tap,542,18 Mlima Tazama Avenue,Hawassa,Rural,Rural,5,3,,,,partially_functional,11,January
65,KiRu26190,KiRu26190224,1/3/2021 12:00,3,112,46,shared_tap,2050,110 Nyerere Road,Kilimani,Rural,Rural,3,3,,,,partially_functional,12,January
66,KiRu30598,KiRu30598224,1/3/2021 14:08,3,30,30,shared_tap,462,108 Sahara Street,Kilimani,Rural,Rural,5,3,,,,functional,14,January
67,SoRu35008,SoRu35008224,1/3/2021 14:31,3,104,1,shared_tap,3746,55 Fennec Way,Sokoto,Rural,Rural,10,3,,,,partially_functional,14,January
68,KiRu30598,KiRu30598224,1/4/2021 7:46,4,89,30,shared_tap,462,108 Sahara Street,Kilimani,Rural,Rural,5,4,,,,partially_functional,7,January
69,HaRu20773,HaRu20773224,1/4/2021 9:08,1,0,42,well,264,167 Tuku Street,Hawassa,Rural,Rural,3,1,Clean,0.0599682,2.42E-05,functional,9,January
70,HaRu19752,HaRu19752224,1/4/2021 9:24,4,75,40,shared_tap,542,18 Mlima Tazama Avenue,Hawassa,Rural,Rural,5,4,,,,partially_functional,9,January
71,AmRu13250,AmRu13250224,1/4/2021 9:34,1,0,16,tap_in_home_broken,790,142 Hurghada Street,Amanzi,Rural,Rural,9,1,,,,non_functional,9,January
72,AmRu15135,AmRu15135224,1/4/2021 9:38,1,0,26,tap_in_home,382,88 Mawimbi Maji Street,Amanzi,Rural,Rural,10,1,,,,functional,9,January
73,AkLu01584,AkLu01584224,1/4/2021 9:46,1,0,18,tap_in_home_broken,988,4 Mogadishu Road,Akatsi,Lusaka,Urban,9,1,,,,non_functional,9,January
74,SoRu39205,SoRu39205224,1/4/2021 9:59,1,0,36,well,358,24 Hugh Masekela Avenue,Sokoto,Rural,Rural,2,1,Contaminated: Chemical,8.10898,0,functional,9,January
75,HaDj16683,HaDj16683224,1/4/2021 10:16,1,0,6,well,216,54 Durban Road,Hawassa,Djenne,Urban,1,1,Contaminated: Biological,0,96.6341,functional,10,January
76,AmRu14759,AmRu14759224,1/4/2021 10:30,1,0,16,tap_in_home,678,55 Nyama Choma Street,Amanzi,Rural,Rural,10,1,,,,functional,10,January
77,AmRu14584,AmRu14584224,1/4/2021 10:39,1,0,30,tap_in_home_broken,706,145 Desmond Tutu Road,Amanzi,Rural,Rural,9,1,,,,non_functional,10,January
78,KiZu31052,KiZu31052224,1/4/2021 11:05,1,0,24,tap_in_home_broken,650,48 Yaounde Street,Kilimani,Zuri,Urban,9,1,,,,non_functional,11,January
79,AmPw12286,AmPw12286224,1/4/2021 11:16,1,24,30,shared_tap,1822,10 Zuri Place,Amanzi,Pwani,Urban,6,1,,,,functional,11,January
80,HaRu18434,HaRu18434224,1/4/2021 11:16,1,0,48,well,224,53 Kano Street,Hawassa,Rural,Rural,1,1,Contaminated: Biological,0,318.664,functional,11,January
81,HaDe16379,HaDe16379224,1/4/2021 11:21,1,0,5,tap_in_home,578,51 Ndege Tambo Road,Hawassa,Deka,Urban,10,1,,,,functional,11,January
82,HaRu18256,HaRu18256224,1/4/2021 11:26,1,29,1,shared_tap,2880,19 Abuja Avenue,Hawassa,Rural,Rural,10,1,,,,functional,11,January
83,AkRu04914,AkRu04914224,1/4/2021 11:35,1,0,40,well,202,28 Bissau Street,Akatsi,Rural,Rural,3,1,Clean,0.050281,9.43E-05,functional,11,January
84,HaSe20931,HaSe20931224,1/4/2021 11:46,1,0,1,well,374,102 Serengeti Road,Hawassa,Serowe,Urban,3,1,Clean,0.0224843,9.88E-05,functional,11,January
85,SoRu35008,SoRu35008224,1/4/2021 12:12,4,165,1,shared_tap,3746,55 Fennec Way,Sokoto,Rural,Rural,10,4,,,,partially_functional,12,January
86,AkRu04543,AkRu04543224,1/4/2021 12:20,1,0,4,well,332,60 Antananarivo Road,Akatsi,Rural,Rural,2,1,Contaminated: Chemical,3.94125,0,functional,12,January
87,KiAm22119,KiAm22119224,1/4/2021 12:34,1,0,36,well,204,58 Lome Street,Kilimani,Amara,Urban,2,1,Contaminated: Chemical,2.17517,0,functional,12,January
88,AkLu02619,AkLu02619224,1/4/2021 12:46,1,0,5,tap_in_home,470,55 Papa Wemba Road,Akatsi,Lusaka,Urban,10,1,,,,functional,12,January
89,AmRu15066,AmRu15066224,1/4/2021 12:47,1,0,28,tap_in_home,762,25 Mto Maridadi Avenue,Amanzi,Rural,Rural,10,1,,,,functional,12,January
90,SoRu37843,SoRu37843224,1/4/2021 12:49,1,59,10,shared_tap,496,129 Kuku Kenyatta Road,Sokoto,Rural,Rural,5,1,,,,partially_functional,12,January
91,AkLu02211,AkLu02211224,1/4/2021 12:49,1,0,30,well,340,70 Okonjo-Iweala Street,Akatsi,Lusaka,Urban,1,1,Contaminated: Biological,0,3.57905,functional,12,January
92,AmRu15398,AmRu15398224,1/4/2021 12:53,1,0,8,tap_in_home_broken,704,47 Ziwa La Machweo Avenue,Amanzi,Rural,Rural,9,1,,,,non_functional,12,January
93,HaDe16499,HaDe16499224,1/4/2021 12:53,1,0,8,well,306,95 Ndege Tambo Road,Hawassa,Deka,Urban,1,1,Contaminated: Biological,0,485.162,functional,12,January
94,SoRu39347,SoRu39347224,1/4/2021 12:54,1,0,8,well,396,2 Isicathamiya Avenue,Sokoto,Rural,Rural,2,1,Contaminated: Chemical,7.07203,0,functional,12,January
95,AmAm09579,AmAm09579224,1/4/2021 13:02,1,0,3,well,362,86 Lumumba Lane,Amanzi,Amina,Urban,3,1,Clean,0.0830754,1.10E-05,functional,13,January
96,HaRu17247,HaRu17247224,1/4/2021 13:18,1,0,1,tap_in_home_broken,726,9 Savannah Grove,Hawassa,Rural,Rural,9,1,,,,non_functional,13,January
97,AkRu04602,AkRu04602224,1/4/2021 14:02,1,0,36,tap_in_home_broken,664,34 Marrakech Avenue,Akatsi,Rural,Rural,9,1,,,,non_functional,14,January
98,KiMr25211,KiMr25211224,1/4/2021 14:16,1,123,3,shared_tap,1380,147 Afrobeats Street,Kilimani,Mrembo,Urban,10,1,,,,partially_functional,14,January
99,AkRu07283,AkRu07283224,1/4/2021 14:19,1,0,30,tap_in_home_broken,808,11 Ukingo Wa Jua Street,Akatsi,Rural,Rural,9,1,,,,non_functional,14,January
100,SoCh32247,SoCh32247224,1/4/2021 14:23,1,0,38,well,288,66 Mali Avenue,Sokoto,Cheche,Urban,10,1,Contaminated: Chemical,2.8855,0,functional,14,January
101,SoIl32868,SoIl32868224,1/4/2021 14:29,1,0,8,tap_in_home_broken,768,129 Cape Verde Street,Sokoto,Ilanga,Urban,9,1,,,,non_functional,14,January
102,SoKo33558,SoKo33558224,1/4/2021 14:46,1,14,10,river,754,157 Mlima Wa Hekima Street,Sokoto,Kofi,Urban,10,1,,,,non_functional,14,January
103,HaRu20738,HaRu20738224,1/4/2021 14:57,1,0,0,well,178,139 Tuku Street,Hawassa,Rural,Rural,1,1,Contaminated: Biological,0,35.2462,functional,14,January
104,AmAs10416,AmAs10416224,1/4/2021 14:58,1,0,10,tap_in_home,776,189 Eto'o Street,Amanzi,Asmara,Urban,10,1,,,,functional,14,January
105,AkLu02115,AkLu02115224,1/4/2021 15:03,1,0,5,tap_in_home_broken,880,116 Kumasi Street,Akatsi,Lusaka,Urban,9,1,,,,non_functional,15,January
106,KiRu27248,KiRu27248224,1/4/2021 15:04,4,218,26,shared_tap,2602,68 Maseru Road,Kilimani,Rural,Rural,3,4,,,,partially_functional,15,January
107,HaAm16229,HaAm16229224,1/4/2021 15:10,1,0,18,well,332,112 Kifaru Lumumba Road,Hawassa,Amina,Urban,2,1,Contaminated: Chemical,2.43936,0,functional,15,January
108,HaRu20104,HaRu20104224,1/4/2021 15:17,1,0,32,well,228,172 Milima Kali Street,Hawassa,Rural,Rural,2,1,Contaminated: Chemical,5.30061,0,functional,15,January
109,KiHa23405,KiHa23405224,1/4/2021 15:29,1,0,38,well,260,118 Samora Machel Road,Kilimani,Harare,Urban,3,1,Clean,0.0633972,5.89E-05,functional,15,January
110,SoRu37081,SoRu37081224,1/4/2021 15:33,1,9,5,river,536,79 Nelson Mandela Street,Sokoto,Rural,Rural,0,1,,,,non_functional,15,January
111,KiRu27870,KiRu27870224,1/4/2021 15:46,1,0,10,well,368,42 Haile Selassie Avenue,Kilimani,Rural,Rural,1,1,Contaminated: Biological,0,318.664,functional,15,January
112,HaYa21510,HaYa21510224,1/4/2021 15:46,1,0,42,tap_in_home,846,25 Wangari Maathai Avenue,Hawassa,Yaounde,Urban,10,1,,,,functional,15,January
113,SoBa31534,SoBa31534224,1/4/2021 15:50,1,0,48,tap_in_home,752,36 Kwame Nkrumah Street,Sokoto,Bahari,Urban,10,1,,,,functional,15,January
114,AmDa11574,AmDa11574224,1/4/2021 15:51,1,0,28,well,256,57 Mamba Amina Way,Amanzi,Dahabu,Urban,3,1,Clean,0.0290295,6.11E-05,functional,15,January
115,AkRu03074,AkRu03074224,1/4/2021 15:51,1,0,42,tap_in_home_broken,318,19 Swahili Grove,Akatsi,Rural,Rural,9,1,,,,non_functional,15,January
116,SoRu37178,SoRu37178224,1/4/2021 15:53,1,0,1,tap_in_home_broken,328,188 Nelson Mandela Street,Sokoto,Rural,Rural,9,1,,,,non_functional,15,January
117,SoRu38743,SoRu38743224,1/4/2021 15:56,1,0,12,tap_in_home_broken,676,45 Mto Wa Ukarimu Street,Sokoto,Rural,Rural,9,1,,,,non_functional,15,January
118,AkRu04162,AkRu04162224,1/4/2021 16:21,1,10,32,river,622,150 Victoria Street,Akatsi,Rural,Rural,0,1,,,,non_functional,16,January
119,KiRu26395,KiRu26395224,1/4/2021 16:21,1,0,48,tap_in_home,818,183 Kimathi Street,Kilimani,Rural,Rural,10,1,,,,functional,16,January
120,HaDj16798,HaDj16798224,1/4/2021 16:30,1,0,42,well,218,84 Durban Road,Hawassa,Djenne,Urban,2,1,Contaminated: Chemical,9.30166,0,functional,16,January
121,HaSe21113,HaSe21113224,1/4/2021 16:31,1,14,46,river,906,58 Fes Boulevard,Hawassa,Serowe,Urban,0,1,,,,non_functional,16,January
122,AmAm09513,AmAm09513224,1/4/2021 16:34,1,0,0,tap_in_home_broken,806,178 Lumumba Lane,Amanzi,Amina,Urban,9,1,,,,non_functional,16,January
123,AmPw12464,AmPw12464224,1/4/2021 16:34,1,0,5,tap_in_home_broken,690,190 Jengo Street,Amanzi,Pwani,Urban,9,1,,,,non_functional,16,January
124,AmRu15067,AmRu15067224,1/4/2021 16:42,1,0,34,tap_in_home_broken,452,61 Mto Maridadi Avenue,Amanzi,Rural,Rural,9,1,,,,non_functional,16,January
125,KiRu26713,KiRu26713224,1/4/2021 16:52,1,0,34,well,340,79 N'Djamena Road,Kilimani,Rural,Rural,3,1,Clean,0.0854418,2.91E-05,functional,16,January
126,KiRu26190,KiRu26190224,1/4/2021 18:02,4,176,46,shared_tap,2050,110 Nyerere Road,Kilimani,Rural,Rural,3,4,,,,partially_functional,18,January
127,KiRu30598,KiRu30598224,1/5/2021 7:58,5,29,30,shared_tap,462,108 Sahara Street,Kilimani,Rural,Rural,5,5,,,,functional,7,January
128,SoRu35008,SoRu35008224,1/5/2021 8:13,5,213,1,shared_tap,3746,55 Fennec Way,Sokoto,Rural,Rural,10,5,,,,partially_functional,8,January
129,HaRu20701,HaRu20701224,1/5/2021 9:01,1,0,46,well,282,171 Tuku Street,Hawassa,Rural,Rural,1,1,Contaminated: Biological,0,96.6341,functional,9,January
130,AmRu13095,AmRu13095224,1/5/2021 9:07,1,0,42,tap_in_home_broken,946,38 Cairo Road,Amanzi,Rural,Rural,9,1,,,,non_functional,9,January
131,SoMa34243,SoMa34243224,1/5/2021 9:17,1,0,48,well,216,69 Freetown Road,Sokoto,Marang,Urban,3,1,Clean,0.0708139,6.22E-05,functional,9,January
132,AkRu08936,AkRu08936224,1/5/2021 9:22,1,0,24,well,166,103 Ladysmith Black Street,Akatsi,Rural,Rural,3,1,Clean,0.0406458,35.0068,functional,9,January
133,KiAm22120,KiAm22120224,1/5/2021 9:23,1,0,3,well,260,192 Lome Street,Kilimani,Amara,Urban,1,1,Contaminated: Biological,0,262.668,functional,9,January
134,AkRu03143,AkRu03143224,1/5/2021 9:24,1,0,10,well,212,47 Asmara Boulevard,Akatsi,Rural,Rural,2,1,Contaminated: Chemical,6.2995,0,functional,9,January
135,AkRu05323,AkRu05323224,1/5/2021 9:25,1,21,5,shared_tap,1286,187 Kenyatta Street,Akatsi,Rural,Rural,6,1,,,,functional,9,January
136,SoRu34762,SoRu34762224,1/5/2021 9:39,1,0,24,tap_in_home_broken,958,12 Simba Road,Sokoto,Rural,Rural,9,1,,,,non_functional,9,January
137,KiMr25211,KiMr25211224,1/5/2021 9:47,2,64,3,shared_tap,1380,147 Afrobeats Street,Kilimani,Mrembo,Urban,10,2,,,,partially_functional,9,January
138,AkRu06435,AkRu06435224,1/5/2021 9:56,1,0,24,tap_in_home,516,198 Punda Kagame Street,Akatsi,Rural,Rural,10,1,,,,functional,9,January
139,AkRu03586,AkRu03586224,1/5/2021 10:12,1,0,10,well,276,4 Koinange Street,Akatsi,Rural,Rural,1,1,Contaminated: Biological,0,262.668,functional,10,January
140,KiHa22659,KiHa22659224,1/5/2021 10:16,1,0,14,tap_in_home,618,39 Tripoli Street,Kilimani,Harare,Urban,10,1,,,,functional,10,January
141,AmRu13188,AmRu13188224,1/5/2021 10:22,1,0,5,tap_in_home_broken,990,6 Hurghada Street,Amanzi,Rural,Rural,9,1,,,,non_functional,10,January
142,AmBe11186,AmBe11186224,1/5/2021 10:24,1,0,10,well,382,133 Mbuzi Mbeki Street,Amanzi,Bello,Urban,3,1,Clean,0.0761867,3.16E-05,functional,10,January
143,HaRu19986,HaRu19986224,1/5/2021 10:25,1,22,34,shared_tap,1402,30 Milima Kali Street,Hawassa,Rural,Rural,6,1,,,,functional,10,January
144,HaRu19752,HaRu19752224,1/5/2021 10:35,5,28,40,shared_tap,542,18 Mlima Tazama Avenue,Hawassa,Rural,Rural,5,5,,,,functional,10,January
145,AmBe11166,AmBe11166224,1/5/2021 10:46,1,19,40,shared_tap,944,172 Mbuzi Mbeki Street,Amanzi,Bello,Urban,7,1,,,,functional,10,January
146,SoRu38450,SoRu38450224,1/5/2021 10:48,1,0,32,tap_in_home,980,115 Pwani Ya Joto Road,Sokoto,Rural,Rural,10,1,,,,functional,10,January
147,AkRu07166,AkRu07166224,1/5/2021 10:59,1,0,10,tap_in_home,528,124 Simba Tutu Street,Akatsi,Rural,Rural,10,1,,,,functional,10,January
148,SoRu35195,SoRu35195224,1/5/2021 10:59,1,14,28,river,838,59 Kenyatta Avenue,Sokoto,Rural,Rural,0,1,,,,non_functional,10,January
149,AmAm09743,AmAm09743224,1/5/2021 11:06,1,0,38,tap_in_home_broken,778,60 Zamajobe Avenue,Amanzi,Amina,Urban,9,1,,,,non_functional,11,January
150,KiZu30889,KiZu30889224,1/5/2021 11:12,1,240,5,shared_tap,3360,150 Yaounde Street,Kilimani,Zuri,Urban,3,1,,,,partially_functional,11,January
151,KiZu31287,KiZu31287224,1/5/2021 11:17,1,0,48,tap_in_home,386,139 Conakry Street,Kilimani,Zuri,Urban,10,1,,,,functional,11,January
152,KiRu30163,KiRu30163224,1/5/2021 11:22,1,0,10,well,370,160 Burna Boy Street,Kilimani,Rural,Rural,2,1,Contaminated: Chemical,5.4852,0,functional,11,January
153,AmRu13238,AmRu13238224,1/5/2021 11:26,1,0,10,tap_in_home,756,24 Hurghada Street,Amanzi,Rural,Rural,10,1,,,,functional,11,January
154,KiRu26783,KiRu26783224,1/5/2021 11:52,1,0,1,well,168,126 N'Djamena Road,Kilimani,Rural,Rural,3,1,Clean,0.0340469,8.69E-05,functional,11,January
155,AkHa00209,AkHa00209224,1/5/2021 11:52,1,0,30,tap_in_home,584,65 Abyei Avenue,Akatsi,Harare,Urban,10,1,,,,functional,11,January
156,KiIs23671,KiIs23671224,1/5/2021 12:06,1,0,32,tap_in_home_broken,796,41 Dodoma Drive,Kilimani,Isiqalo,Urban,9,1,,,,non_functional,12,January
157,HaAm15937,HaAm15937224,1/5/2021 12:09,1,42,36,shared_tap,270,40 Garang Street,Hawassa,Amina,Urban,5,1,,,,partially_functional,12,January
